probe_category,probe_text,d_fr
finance, is offering competitive,0.35078367590904236
finance, reported quarterly earnings,0.15697239339351654
finance, announced new interest,0.3910013437271118
finance, has increased its lending,0.0617772713303566
finance, stock price fell,0.05155615881085396
finance, manager recommended,0.1627693474292755
finance, account balance showed,2.278899908065796
finance, loan application was,0.45392391085624695
nature, was covered in wildflowers,0.467573344707489
nature, eroded after the heavy,0.8004086017608643
nature, provided habitat for,0.7624667286872864
nature, along the river was,1.5606423616409302
nature, of the creek was,1.0805045366287231
nature, was shaded by tall,1.828912615776062
nature, flooded during the spring,0.34503668546676636
nature, slopes were covered in,2.4246487617492676
neutral, was located near the,0.8049587607383728
neutral, had been there for,0.8598134517669678
neutral, is one of the most,1.4385398626327515
neutral, was recently in the,1.0549404621124268
neutral, seemed different from,0.707754909992218
neutral, that we visited last,0.10681577771902084
neutral, is not what you,0.8567642569541931
neutral, could be described as,1.9053255319595337
minimal, is,0.0
minimal, was,0.0
minimal, can be,0.2871699035167694
minimal, often,0.0
minimal, near,0.0006905339541845024
minimal, in the,0.4697573781013489
