label,n_tokens,exceeds_max
pair_0_A,277,False
pair_0_B,277,False
pair_1_A,272,False
pair_1_B,272,False
pair_2_A,267,False
pair_2_B,267,False
pair_3_A,276,False
pair_3_B,276,False
pair_4_A,269,False
pair_4_B,269,False
pair_5_A,264,False
pair_5_B,264,False
pair_6_A,259,False
pair_6_B,259,False
pair_7_A,268,False
pair_7_B,268,False
pair_8_A,271,False
pair_8_B,271,False
pair_9_A,266,False
pair_9_B,266,False
pair_10_A,261,False
pair_10_B,261,False
pair_11_A,270,False
pair_11_B,270,False
pair_12_A,266,False
pair_12_B,266,False
pair_13_A,261,False
pair_13_B,261,False
pair_14_A,256,False
pair_14_B,256,False
pair_15_A,265,False
pair_15_B,265,False
